종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"263800","데이타솔루션","KOSDAQ","유통","4205","-10","-0.24","68202492900"
"206560","덱스터","KOSDAQ","오락·문화","8140","240","3.04","206851531040"
"261200","덴티스","KOSDAQ","의료·정밀기기","6980","-50","-0.71","110351706000"
"067990","도이치모터스","KOSDAQ","유통","4625","-25","-0.54","139589668750"
"006620","동구바이오제약","KOSDAQ","제약","5450","-130","-2.33","155134206400"
"100130","동국S&C","KOSDAQ","금속","2470","-30","-1.20","141143210000"
"005160","동국산업","KOSDAQ","금속","6560","60","0.92","355843801920"
"075970","동국알앤에스","KOSDAQ","비금속","2405","-65","-2.63","44252000000"
"086450","동국제약","KOSDAQ","제약","17210","-340","-1.94","765156600000"
"099410","동방선기","KOSDAQ","운송장비·부품","3000","-50","-1.64","42000000000"
"033500","동성화인텍","KOSDAQ","화학","10760","-240","-2.18","322686955440"
"025950","동신건설","KOSDAQ","건설","19800","-200","-1.00","166320000000"
"088130","동아엘텍","KOSDAQ","기계·장비","9030","70","0.78","78946192710"
"041930","동아화성","KOSDAQ","화학","6810","-30","-0.44","107598000000"
"060380","동양에스텍","KOSDAQ","금속","1440","-12","-0.83","28368000000"
"079960","동양이엔피","KOSDAQ","전기·전자","18700","-460","-2.40","146982000000"
"228340","동양파일","KOSDAQ","비금속","2005","0","0.00","40100000000"
"088910","동우팜투테이블","KOSDAQ","음식료·담배","1974","-6","-0.30","50991902136"
"094170","동운아나텍","KOSDAQ","전기·전자","18270","-80","-0.44","348357890160"
"013120","동원개발","KOSDAQ","건설","2520","5","0.20","228836412000"
"109860","동일금속","KOSDAQ","금속","8640","20","0.23","78624000000"
"032960","동일기연","KOSDAQ","전기·전자","11030","-280","-2.48","43969142690"
"023790","동일철강","KOSDAQ","금속","1244","-18","-1.43","25926620740"
"005290","동진쎄미켐","KOSDAQ","화학","26750","50","0.19","1375337714500"
"025900","동화기업","KOSDAQ","종이·목재","10910","-90","-0.82","551579979350"
"131970","두산테스나","KOSDAQ","일반서비스","28900","50","0.17","491489757400"
"073190","듀오백","KOSDAQ","기타제조","2545","50","2.00","30458661800"
"030350","드래곤플라이","KOSDAQ","출판·매체복제","237","0","0.00","16445186601"
"203650","드림시큐리티","KOSDAQ","출판·매체복제","3180","-95","-2.90","160926297720"
"223250","드림씨아이에스","KOSDAQ","일반서비스","4445","50","1.14","105787995180"
"060570","드림어스컴퍼니","KOSDAQ","오락·문화","2460","30","1.23","186029069580"
"362990","드림인사이트","KOSDAQ","일반서비스","2220","-70","-3.06","37297274280"
"016670","디모아","KOSDAQ","유통","3540","-230","-6.10","17494134840"
"187870","디바이스이엔지","KOSDAQ","기계·장비","12850","-240","-1.83","90420425650"
"110990","디아이티","KOSDAQ","기계·장비","13820","360","2.67","261198000000"
"263690","디알젬","KOSDAQ","의료·정밀기기","7090","-60","-0.84","80298574900"
"214680","디알텍","KOSDAQ","의료·정밀기기","2815","-10","-0.35","207541809020"
"347850","디앤디파마텍","KOSDAQ","일반서비스","43300","-3250","-6.98","456326965700"
"263720","디앤씨미디어","KOSDAQ","출판·매체복제","17480","-20","-0.11","218927788040"
"376300","디어유","KOSDAQ","출판·매체복제","23800","700","3.03","564974062800"
"109740","디에스케이","KOSDAQ","기계·장비","5020","-120","-2.33","129066157800"
"196490","디에이테크놀로지","KOSDAQ","기계·장비","203","0","0.00","36245520080"
"066900","디에이피","KOSDAQ","전기·전자","2410","-25","-1.03","54814252230"
"127120","디엔에이링크","KOSDAQ","일반서비스","3565","-5","-0.14","80154900295"
"092070","디엔에프","KOSDAQ","화학","10220","-10","-0.10","118264388760"
"039840","디오","KOSDAQ","의료·정밀기기","15970","-10","-0.06","239258627350"
"219550","디와이디","KOSDAQ","유통","514","1","0.19","40349406574"
"310870","디와이씨","KOSDAQ","운송장비·부품","1254","44","3.64","25941837834"
"104460","디와이피엔에프","KOSDAQ","기계·장비","9680","-770","-7.37","103707890000"
"079810","디이엔티","KOSDAQ","기계·장비","7220","-150","-2.04","159042838680"
"113810","디젠스","KOSDAQ","운송장비·부품","867","-3","-0.34","28288520217"
"043360","디지아이","KOSDAQ","전기·전자","2075","-60","-2.81","18675000000"
"197140","디지캡","KOSDAQ","출판·매체복제","2600","0","0.00","33834200400"
"068930","디지털대성","KOSDAQ","일반서비스","7410","-20","-0.27","205074284220"
"033130","디지틀조선","KOSDAQ","일반서비스","1650","-74","-4.29","61240190550"
